epoch,acc,loss,val_acc,val_loss
0,0.15653298795223236,2.077307939529419,0.18415327370166779,2.0702030658721924
1,0.1883193552494049,2.063068389892578,0.18624497950077057,2.0464820861816406
2,0.21117979288101196,2.024406671524048,0.24514725804328918,1.9733600616455078
3,0.30184105038642883,1.9127461910247803,0.4307228922843933,1.7404921054840088
4,0.40456321835517883,1.6591922044754028,0.5658467411994934,1.4040637016296387
5,0.5186249613761902,1.4049714803695679,0.6602242588996887,1.1391172409057617
6,0.6096062064170837,1.1851835250854492,0.7220548987388611,0.9486469030380249
7,0.6651481986045837,1.0365934371948242,0.7569444179534912,0.8388498425483704
8,0.6985936164855957,0.9454881548881531,0.7745984196662903,0.7730025053024292
9,0.7203646302223206,0.8811521530151367,0.7858935594558716,0.731546938419342
10,0.7357066869735718,0.8349420428276062,0.7973560690879822,0.6955515742301941
11,0.7481523156166077,0.798041045665741,0.8043005466461182,0.6692822575569153
12,0.7580270767211914,0.7661900520324707,0.8110776543617249,0.6448179483413696
13,0.7664887309074402,0.7380692362785339,0.8149263858795166,0.6252321600914001
14,0.7727290987968445,0.7140020728111267,0.8187751173973083,0.607633650302887
15,0.77764892578125,0.6921604871749878,0.8207831382751465,0.5892817974090576
16,0.7832974791526794,0.67264723777771,0.8233768343925476,0.5746760964393616
17,0.7876494526863098,0.6544350981712341,0.8248828649520874,0.5613266229629517
18,0.7907770276069641,0.6389145851135254,0.8268072009086609,0.5488080382347107
19,0.7944132685661316,0.6237746477127075,0.8280622363090515,0.5347630977630615
20,0.7970377802848816,0.610369086265564,0.8309069871902466,0.5263684391975403
21,0.8000395894050598,0.5981559157371521,0.8338353633880615,0.5137447714805603
22,0.8031782507896423,0.5858312249183655,0.8348393440246582,0.5040810704231262
23,0.805482804775238,0.5752499103546143,0.8364290595054626,0.49784910678863525
24,0.8080092668533325,0.5652182698249817,0.8390227556228638,0.48930251598358154
25,0.8104932308197021,0.5556933879852295,0.8389390707015991,0.4815763235092163
26,0.8123890161514282,0.5478413105010986,0.8398594260215759,0.47682812809944153
27,0.8145326375961304,0.5398655533790588,0.8383533954620361,0.47150641679763794
28,0.8167853951454163,0.5313331484794617,0.8428714871406555,0.4650694727897644
29,0.818601667881012,0.5241490006446838,0.842118501663208,0.46132585406303406
30,0.8201164603233337,0.5189388990402222,0.8446285128593445,0.4525354504585266
31,0.8226613998413086,0.5104138851165771,0.8482262492179871,0.447370707988739
32,0.8246663212776184,0.5054570436477661,0.8467202186584473,0.44415682554244995
33,0.8266249895095825,0.4984443485736847,0.8477242588996887,0.4405307173728943
34,0.8269227743148804,0.49404680728912354,0.8497322797775269,0.43463191390037537
35,0.829343855381012,0.488554984331131,0.8513219356536865,0.4324744939804077
36,0.8307532072067261,0.4829978346824646,0.852911651134491,0.42708468437194824
37,0.8324066996574402,0.4784853160381317,0.8526606559753418,0.4267016649246216
38,0.8336292505264282,0.4732523262500763,0.8552543520927429,0.41985180974006653
39,0.8352587223052979,0.4694410264492035,0.8557563424110413,0.4165554940700531
40,0.8363610506057739,0.4660232365131378,0.857262372970581,0.4136216938495636
